Year,Month,Hottest Temperature,Coldest Temperature,Average Temperature,Median Temperature
2022,1,38.3,38.3,38.3,38.3
2022,1,32.2,32.2,32.2,32.2
2022,1,21.4,21.4,21.4,21.4
2022,1,20.9,20.9,20.9,20.9
2022,1,26,26,26,26
2022,1,30.3,30.3,30.3,30.3
2022,1,24.2,24.2,24.2,24.2
2022,1,21.2,21.2,21.2,21.2
2022,1,22.3,22.3,22.3,22.3
2022,1,27.9,27.9,27.9,27.9
2022,1,27.4,27.4,27.4,27.4
2022,1,27.5,27.5,27.5,27.5
2022,1,30.8,30.8,30.8,30.8
2022,1,34.4,34.4,34.4,34.4
2022,1,24.8,24.8,24.8,24.8
2022,1,28.8,28.8,28.8,28.8
2022,1,24.8,24.8,24.8,24.8
2022,1,22.7,22.7,22.7,22.7
2022,1,26.1,26.1,26.1,26.1
2022,1,27.7,27.7,27.7,27.7
2022,1,29.7,29.7,29.7,29.7
2022,1,32.5,32.5,32.5,32.5
2022,1,32.8,32.8,32.8,32.8
2022,1,33.5,33.5,33.5,33.5
2022,1,29.2,29.2,29.2,29.2
2022,1,34.6,34.6,34.6,34.6
2022,1,35.1,35.1,35.1,35.1
2022,1,28.8,28.8,28.8,28.8
2022,1,22,22,22,22
2022,1,27.2,27.2,27.2,27.2
2022,1,31.5,31.5,31.5,31.5
2022,2,24.8,24.8,24.8,24.8
2022,2,20.2,20.2,20.2,20.2
2022,2,19.2,19.2,19.2,19.2
2022,2,24.1,24.1,24.1,24.1
2022,2,25.7,25.7,25.7,25.7
2022,2,26.9,26.9,26.9,26.9
2022,2,27,27,27,27
2022,2,29.6,29.6,29.6,29.6
2022,2,29,29,29,29
2022,2,23.5,23.5,23.5,23.5
2022,2,21.7,21.7,21.7,21.7
2022,2,26.5,26.5,26.5,26.5
2022,2,34.5,34.5,34.5,34.5
2022,2,25.6,25.6,25.6,25.6
2022,2,23.6,23.6,23.6,23.6
2022,2,24.4,24.4,24.4,24.4
2022,2,24,24,24,24
2022,2,22.7,22.7,22.7,22.7
2022,2,22.2,22.2,22.2,22.2
2022,2,25.7,25.7,25.7,25.7
2022,2,21.3,21.3,21.3,21.3
2022,2,22.5,22.5,22.5,22.5
2022,2,31.9,31.9,31.9,31.9
2022,2,24.2,24.2,24.2,24.2
2022,2,22.9,22.9,22.9,22.9
2022,2,27.6,27.6,27.6,27.6
2022,2,25.5,25.5,25.5,25.5
2022,2,25.1,25.1,25.1,25.1
2022,3,25,25,25,25
2022,3,28,28,28,28
2022,3,29.4,29.4,29.4,29.4
2022,3,33,33,33,33
2022,3,23.7,23.7,23.7,23.7
2022,3,20.1,20.1,20.1,20.1
2022,3,22.5,22.5,22.5,22.5
2022,3,20.6,20.6,20.6,20.6
2022,3,21.6,21.6,21.6,21.6
2022,3,20.9,20.9,20.9,20.9
2022,3,21.2,21.2,21.2,21.2
2022,3,21.7,21.7,21.7,21.7
2022,3,30.4,30.4,30.4,30.4
2022,3,26.7,26.7,26.7,26.7
2022,3,23.4,23.4,23.4,23.4
2022,3,25,25,25,25
2022,3,29.4,29.4,29.4,29.4
2022,3,21.6,21.6,21.6,21.6
2022,3,27.2,27.2,27.2,27.2
2022,3,26.2,26.2,26.2,26.2
2022,3,28,28,28,28
2022,3,20.4,20.4,20.4,20.4
2022,3,20.7,20.7,20.7,20.7
2022,3,21.2,21.2,21.2,21.2
2022,3,20.7,20.7,20.7,20.7
2022,3,22.3,22.3,22.3,22.3
2022,3,30.2,30.2,30.2,30.2
2022,3,26.7,26.7,26.7,26.7
2022,3,20.2,20.2,20.2,20.2
2022,3,21.5,21.5,21.5,21.5
2022,3,20.5,20.5,20.5,20.5
2022,4,19.8,19.8,19.8,19.8
2022,4,20.4,20.4,20.4,20.4
2022,4,18.5,18.5,18.5,18.5
2022,4,18.9,18.9,18.9,18.9
2022,4,20.5,20.5,20.5,20.5
2022,4,22,22,22,22
2022,4,22.3,22.3,22.3,22.3
2022,4,23.4,23.4,23.4,23.4
2022,4,26.2,26.2,26.2,26.2
2022,4,29.6,29.6,29.6,29.6
2022,4,20.1,20.1,20.1,20.1
2022,4,18.1,18.1,18.1,18.1
2022,4,20.7,20.7,20.7,20.7
2022,4,25.2,25.2,25.2,25.2
